Name,Pattern Description,Canopy Model,Size (Ft),
KA-170-CP9-0043,"RED-RBL-WHT-RED-RED-RED-RED-RED-RED | -$400 New canopy, never jumped, current production revision. Price reduced due to time on stock shelf.",Katana,170,
NA-220-CP9-0046,RBL-RBL-WHT-RED-WHT-RED-WHT-RED-WHT Stabilizers:WHT,Navigator,220,
OP-106-ORA,ORA-ORA-ORA-ORA-ORA-ORA-ORA,Optimum,106,
OP-126-ORA,ORA-ORA-ORA-ORA-ORA-ORA-ORA,Optimum,126,
OP-176-ORA,ORA-ORA-ORA-ORA-ORA-ORA-ORA,Optimum,176,
OP-218-ORA,ORA-ORA-ORA-ORA-ORA-ORA-ORA,Optimum,218,
PL-107-RES-0001,"NBL-NBL-WHT-WHT-NBL-NBL-NBL-NBL-NBL |DOM:03/09|FABRIC:VERY GD,LINE:EXCEL|$1400.00",Pulse,107,
PL-120-RES-0003,"NBL-NBL-WHT-WHT-NBL-NBL-NBL-NBL-NBL |DOM:02/09|FABRIC:GOOD,LINE:RELINE|$1350.00",Pulse,120,
PL-120-RES-0005,"NBL-NBL-WHT-WHT-NBL-NBL-NBL-NBL-NBL |DOM:03/09|FABRIC:VERY GD,LINE:EXCEL|$1450.00",Pulse,120,
PL-120-RES-0007,"NBL-NBL-WHT-WHT-NBL-NBL-NBL-NBL-NBL |DOM:03/09|FABRIC:EXCEL,LINE:EXCEL|$1410.00",Pulse,120,
PR-106-WHT,"WHT-WHT-WHT-WHT-WHT-WHT-WHT | -$200 New canopy, never jumped, current production revision. Price reduced due to time on stock shelf.",PD Reserve,106,
PR-113-LBL,LBL-LBL-LBL-LBL-LBL-LBL-LBL,PD Reserve,113,
PR-126-WHT,WHT-WHT-WHT-WHT-WHT-WHT-WHT,PD Reserve,126,
PR-143-WHT,WHT-WHT-WHT-WHT-WHT-WHT-WHT,PD Reserve,143,
PR-160-WHT,WHT-WHT-WHT-WHT-WHT-WHT-WHT,PD Reserve,160,
PR-176-WHT,WHT-WHT-WHT-WHT-WHT-WHT-WHT,PD Reserve,176,
PR-193-YEL,YEL-YEL-YEL-YEL-YEL-YEL-YEL,PD Reserve,193,
PR-218-YEL,YEL-YEL-YEL-YEL-YEL-YEL-YEL,PD Reserve,218,
pr-235-wht,WHT-WHT-WHT-WHT-WHT-WHT-WHT,PD Reserve,235,
PV-260-CP7-0065,"BLK-WHT-WHT-BLK-WHT-WHT-BLK | -$400 New canopy, never jumped, current production revision. Price reduced due to time on stock shelf.",Proxy - Vented,260,
PX-240-CP7-0065,"BLK-WHT-WHT-BLK-WHT-WHT-BLK | -$400 New canopy, never jumped, current production revision. Price reduced due to time on stock shelf.",Proxy,240,
PX-260-CP7-0065,"BLK-WHT-WHT-BLK-WHT-WHT-BLK | -$400 New canopy, never jumped, current production revision. Price reduced due to time on stock shelf.",Proxy,260,
SA-097-CPX-0003,BLK-BBY-NBL-RBL-KGR-GOL-TGR-RED-BLK,Sabre2,97,
SA-120-H02-CP9-0039,RED-WHT-SIL-RED-RED-RED-SIL-WHT-RED,Sabre2,120,
SA-120-H02-CP9-0046,"RBL-RBL-WHT-RED-WHT-RED-WHT-RED-WHT Stabilizers:WHT | -$200 New canopy, never jumped, current production revision. Price reduced due to time on stock shelf.",Sabre2,120,
KA-170-CP9-0046,"RBL-RBL-WHT-RED-WHT-RED-WHT-RED-WHT Stabilizers:WHT | -$400 New canopy, never jumped, current production revision. Price reduced due to time on stock shelf.",Katana,170,
OP-099-ORA,ORA-ORA-ORA-ORA-ORA-ORA-ORA,Optimum,99,
OP-113-ORA,ORA-ORA-ORA-ORA-ORA-ORA-ORA,Optimum,113,
OP-160-ORA,ORA-ORA-ORA-ORA-ORA-ORA-ORA,Optimum,160,
OP-193-ORA,ORA-ORA-ORA-ORA-ORA-ORA-ORA,Optimum,193,
OP-253-ORA,ORA-ORA-ORA-ORA-ORA-ORA-ORA,Optimum,253,
PL-107-RES-0002,"RBL-LEM-RBL-RBL-RBL-RBL-RBL-LEM-RBL |DOM:02/09|FABRIC:VERY GD,LINE:EXCEL|$1400.00",Pulse,107,
PL-120-RES-0004,"RBL-LEM-RBL-RBL-RBL-RBL-RBL-LEM-RBL |DOM:02/09|FABRIC:VERY GD,LINE:EXCEL|$1400.00",Pulse,120,
PL-120-RES-0006,"TGR-NBL-WHT-TGR-TGR-TGR-TGR-TGR-TGR |DOM:03/09|FABRIC:GOOD,LINE:RELINE|$1210.00",Pulse,120,
PL-170-CP9-0067,NBL-NBL-SIL-SIL-NBL-NBL-NBL-NBL-NBL | RIBS & BOTTOM: WHT | END RIBS: NBL,Pulse,170,
PR-106-YEL,"YEL-YEL-YEL-YEL-YEL-YEL-YEL | -$200 New canopy, never jumped, current production revision. Price reduced due to time on stock shelf.",PD Reserve,106,
PR-113-WHT,WHT-WHT-WHT-WHT-WHT-WHT-WHT,PD Reserve,113,
PR-126-YEL,YEL-YEL-YEL-YEL-YEL-YEL-YEL,PD Reserve,126,
PR-160-LBL,LBL-LBL-LBL-LBL-LBL-LBL-LBL,PD Reserve,160,
PR-160-YEL,YEL-YEL-YEL-YEL-YEL-YEL-YEL,PD Reserve,160,
PR-193-WHT,WHT-WHT-WHT-WHT-WHT-WHT-WHT,PD Reserve,193,
